,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
93,USW00093738,2015-04-04,18.12,0.0,0.0,57,64,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,USW00093738,2015-04-05,9.84,0.0,0.0,48,65,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,USW00093738,2015-04-06,9.62,0.0,0.0,58,76,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,USW00093738,2015-04-07,4.7,0.13,0.0,65,73,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,USW00093738,2015-04-08,7.38,0.05,0.0,51,58,43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98,USW00093738,2015-04-09,5.82,0.04,0.0,45,48,42,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99,USW00093738,2015-04-10,5.82,0.02,0.0,49,67,43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,USW00093738,2015-04-11,11.18,0.0,0.0,59,64,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,USW00093738,2015-04-12,4.03,0.0,0.0,52,69,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,USW00093738,2015-04-13,9.62,0.0,0.0,62,78,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,USW00093738,2015-04-14,6.93,0.5,0.0,61,66,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,USW00093738,2015-04-15,4.7,0.0,0.0,55,65,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,USW00093738,2015-04-16,7.16,0.08,0.0,56,71,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,USW00093738,2015-04-17,3.58,0.02,0.0,64,79,54,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,USW00093738,2015-04-18,3.36,0.0,0.0,66,80,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,USW00093738,2015-04-19,12.08,0.29,0.0,62,67,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,USW00093738,2015-04-20,9.17,0.74,0.0,63,78,53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,USW00093738,2015-04-21,9.84,0.0,0.0,61,67,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,USW00093738,2015-04-22,11.41,0.0,0.0,53,70,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,USW00093738,2015-04-23,11.63,0.0,0.0,49,55,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,USW00093738,2015-04-24,12.97,0.0,0.0,48,60,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,USW00093738,2015-04-25,4.7,0.3,0.0,45,50,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,USW00093738,2015-04-26,5.82,0.0,0.0,49,63,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,USW00093738,2015-04-27,9.84,0.0,0.0,50,58,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,USW00093738,2015-04-28,10.29,0.0,0.0,55,69,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,USW00093738,2015-04-29,2.24,0.0,0.0,59,74,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,USW00093738,2015-04-30,4.25,0.07,0.0,59,72,46,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120,USW00093738,2015-05-01,5.82,0.0,0.0,56,64,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,USW00093738,2015-05-02,4.92,0.0,0.0,60,75,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,USW00093738,2015-05-03,3.58,0.0,0.0,63,80,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,USW00093738,2015-05-04,7.61,0.0,0.0,68,84,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,USW00093738,2015-05-05,4.03,0.02,0.0,71,85,58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,USW00093738,2015-05-06,4.47,0.04,0.0,69,83,56,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
126,USW00093738,2015-05-07,4.25,0.0,0.0,68,80,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,USW00093738,2015-05-08,3.36,0.0,0.0,70,83,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,USW00093738,2015-05-09,5.59,0.0,0.0,69,79,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,USW00093738,2015-05-10,5.59,0.0,0.0,72,82,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,USW00093738,2015-05-11,4.03,0.01,0.0,74,83,64,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
131,USW00093738,2015-05-12,9.4,0.0,0.0,76,87,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,USW00093738,2015-05-13,14.32,0.0,0.0,64,68,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,USW00093738,2015-05-14,5.14,0.0,0.0,57,70,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,USW00093738,2015-05-15,7.16,0.0,0.0,62,77,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,USW00093738,2015-05-16,4.92,0.7,0.0,72,87,63,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
136,USW00093738,2015-05-17,2.91,0.0,0.0,72,83,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,USW00093738,2015-05-18,3.36,0.38,0.0,77,89,68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,USW00093738,2015-05-19,6.71,0.0,0.0,76,87,66,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
139,USW00093738,2015-05-20,12.3,0.0,0.0,67,71,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,USW00093738,2015-05-21,3.8,0.26,0.0,56,58,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,USW00093738,2015-05-22,10.51,0.0,0.0,60,75,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,USW00093738,2015-05-23,4.25,0.0,0.0,61,73,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,USW00093738,2015-05-24,4.25,0.0,0.0,65,81,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,USW00093738,2015-05-25,9.84,0.0,0.0,73,83,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,USW00093738,2015-05-26,7.61,0.0,0.0,74,87,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,USW00093738,2015-05-27,6.49,1.05,0.0,76,86,67,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,USW00093738,2015-05-28,3.13,0.0,0.0,76,89,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,USW00093738,2015-05-29,5.82,0.0,0.0,75,84,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,USW00093738,2015-05-30,8.72,0.0,0.0,76,89,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,USW00093738,2015-05-31,8.28,0.0,0.0,78,87,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
